source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence,source_name,target_name,source_name_norm,target_name_norm,source_id,target_id
Oman Ministry of Transport Communication and Information Technology,Company,PARTNERED_WITH,Omantel,Company,bbc85d5c88e845ee4991::c0000,2023-04-07,The event was hosted in partnership with the Oman Ministry of Transport Communication and Information Technology and Omantel.,1.0,Oman Ministry of Transport Communication and Information Technology,Omantel,oman ministry of transport communication and information technology,omantel,5ad5fbab221f18c60dc21ee2,1e8a0559b04b74762f61edef
Patrick Racz,Person,WORKED_AT,Smartflash,Company,198660b5d2a419ac68f2::c0000,2023-04-17,Inventor Patrick Racz claims his Smartflash technology is at the heart of the ...,1.0,Patrick Racz,Smartflash,patrick racz,smartflash,c3bd261e79278b4d6b2b95db,2ce1230f573b51cbe0fbe56c
Senser,Company,FOUNDED,2021,Technology,125b329c27f612e3fa1d::c0000,2023-09-27,Before launching Senser in 2021,1.0,Senser,2021,senser,2021,bc18d55f3997314f76b638e5,f666020d12eb119b6e5cdf03
Krayden,Person,LEADS,Senser,Company,125b329c27f612e3fa1d::c0000,2023-09-27,Krayden and Co-Founders Or Sadeh and Yuval Lev honed their skills as tech leaders at DriveNets.,1.0,Krayden,Senser,krayden,senser,a22b644d22890d669006f476,bc18d55f3997314f76b638e5
SITA,Company,PARTNERED_WITH,Airports Authority of India,Company,70175d5248e739d351ec::c0000,2023-07-14,SITA has been awarded a landmark deal from the Airports Authority of India to provide technology to 43 of India’s airports.,1.0,SITA,Airports Authority of India,sita,airports authority of india,a35410a884e6716dcd70fd37,2f20169205b1a90a4efc7222
Carl Petch,Person,LEADS,Telstra Broadcast Services,Company,7cc65480435ad2b2475c::c0000,2023-02-02,Carl Petch is CTO for Telstra Broadcast Services and leads the global Broadcast and Media Engineering and Solutions Architecture teams.,1.0,Carl Petch,Telstra Broadcast Services,carl petch,telstra broadcast services,95358170878690a7854fb819,750dc2461e1292b18ad8b8be
PDF Solutions Inc.,Company,DEVELOPED,Q3 2022 Earnings Call,Technology,09467c8771a777403cd3::c0000,2022-12-29,PDF Solutions Inc. (NASDAQ:PDFS) Q3 2022 Earnings Call Transcript.,1.0,PDF Solutions Inc.,Q3 2022 Earnings Call,pdf solutions inc.,q3 2022 earnings call,fbf152252157d7425530426e,5e14ebe944d42571b7c798bd
eologix sensor technology,Technology,PARTNERED_WITH,Ping Services,Company,9bd710fbf37dd4562cae::c0000,2023-05-23,eologix sensor technology and Ping Services announce merger.,1.0,eologix sensor technology,Ping Services,eologix sensor technology,ping services,0ed45dee0732673b9ca4713a,10e399da729e3d1b5247b9e2
Lessen,Company,ACQUIRED,SMS Assist,Company,b96c11fcaeeb44c59dae::c0000,2023-01-25,Lessen Acquires SMS Assist Signaling A New Era for Property Technology and Services.,1.0,Lessen,SMS Assist,lessen,sms assist,ed55647e1d90630151947f73,880a3b1b60319498e310720f
ServiceNow,Company,PARTNERED_WITH,NVIDIA,Company,a5a8b0ece135c638d4f0::c0000,2023-07-27,ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises.,1.0,ServiceNow,NVIDIA,servicenow,nvidia,cc9c6ee3857729e221d3f6de,b823fb02e58a12bdc4c38934
ServiceNow,Company,PARTNERED_WITH,Accenture,Company,a5a8b0ece135c638d4f0::c0000,2023-07-27,ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises.,1.0,ServiceNow,Accenture,servicenow,accenture,cc9c6ee3857729e221d3f6de,01b433b22d620a1f8f7803c5
Amazon Web Services,Technology,USES,low-code/no-code platforms,Technology,4153ddf8a3ef83ffd227::c0000,2022-12-13,The extraordinary success of Amazon Web Services (AWS) which is used to power many thousands ...,1.0,Amazon Web Services,low-code/no-code platforms,amazon web services,low-code no-code platforms,2ac750dc61cedec8ccc77f0d,b8ce7da3ccc1f20dae1bbe67
Elon Musk,Person,ACQUIRED,Twitter,Company,eddaf77d809073096723::c0000,2023-01-02,Here’s who helped Elon Musk buy Twitter.,1.0,Elon Musk,Twitter,elon musk,twitter,9db24eb357b51a7992c04ce4,a5f18546ad7cd1cb03992049
SHI International Corp,Company,WORKED_AT,malware attack,Technology,5a4458b64ef130731c71::c0000,2023-08-27,SHI International Corp network was hit by a malware attack over the weekend.,1.0,SHI International Corp,malware attack,shi international corp,malware attack,5a43e1ee7742c9938089a810,4ab077c9fcd8f747959747ca
Ochsner Health,Company,USES,iPhone technology,Technology,c1e072bd863674bef23d::c0000,2023-08-01,Ochsner Health uses iPhone technology to remotely monitor patients.,1.0,Ochsner Health,iPhone technology,ochsner health,iphone technology,aebd90187289b20250b86d49,97d8fe4791f3387b210532b4
Symrise,Company,ACQUIRED,Swedencare,Company,66477a526552e1863d65::c0000,2023-06-05,Symrise AG said on Monday it has made a bid approach for Swedencare AB just days after acquiring a nearly 30% stake in the Swedish pet healthcare firm.,1.0,Symrise,Swedencare,symrise,swedencare,554efa808d9d904d6b755b11,54462bb0783ae0e6e2612860
Honeywell,Company,USES,technology,Technology,1c533bcd1678c3e7ddde::c0000,2023-09-08,Providers such as Honeywell augment those systems with more information during taxi takeoffs and landings.,1.0,Honeywell,technology,honeywell,technology,655572de7e80ced382d838c6,3669130c05135dd501f33457
JPMorgan,Company,USES,Vestwell's technology,Technology,866e313c0921090ade13::c0000,2023-05-12,JPMorgan Asset Management will be using Vestwell's technology to run JPMorgan Asset Management Everyday 401(k) program.,1.0,JPMorgan,Vestwell's technology,jpmorgan,vestwell s technology,3110aba1f50b7769d02b3b30,adc2e17f735185066d96853d
IIIT Hyderabad,Company,PARTNERED_WITH,Synergy Quantum India,Company,c688d3f041d2d5915546::c0000,2023-04-03,International Institute of Information Technology Hyderabad (IIITH) has entered a strategic partnership with Synergy Quantum India.,1.0,IIIT Hyderabad,Synergy Quantum India,iiit hyderabad,synergy quantum india,43a2b279a035975ab78ed013,d82a2a86c447707c81675b5a
H.I.G. Capital,Company,ACQUIRED,Synecore Limited,Company,00884876aed18b6025c0::c0000,2023-03-30,H.I.G. Capital announced that one of its affiliates has acquired Synecore Limited.,1.0,H.I.G. Capital,Synecore Limited,h.i.g. capital,synecore limited,939d2efc13ec6919f9b1b709,b923dc963b20f52fa39de86d
H.I.G. Capital,Company,ACQUIRED,Meesons Futures Limited,Company,00884876aed18b6025c0::c0000,2023-03-30,H.I.G. Capital announced that one of its affiliates has acquired Meesons Futures Limited.,1.0,H.I.G. Capital,Meesons Futures Limited,h.i.g. capital,meesons futures limited,939d2efc13ec6919f9b1b709,f479b233a1cfa69271ba2b20
ServiceNow,Company,PARTNERED_WITH,NVIDIA,Company,531b5c0beb405c822e6c::c0000,2023-05-17,ServiceNow and NVIDIA today announced a partnership to develop powerful enterprise-grade generative AI capabilities.,1.0,ServiceNow,NVIDIA,servicenow,nvidia,cc9c6ee3857729e221d3f6de,b823fb02e58a12bdc4c38934
Wultra,Company,PARTNERED_WITH,iProov,Company,0a9667e0fa18862d9bc1::c0000,2023-05-10,Wultra and iProov Partner to Bring Biometric Technology to Banks and Financial Services Technology Providers.,1.0,Wultra,iProov,wultra,iproov,f9f411f174cac8c7c6f52c2a,ca69c9c7a9f61f48e67b1dca
Zoomcar,Company,WORKED_AT,Ashu Singhal,Person,fb0a4f3af474c344139e::c0000,2023-01-10,Zoomcar appoints Ashu Singhal as chief technology and product officer.,1.0,Zoomcar,Ashu Singhal,zoomcar,ashu singhal,c2c8e85cbe626675bb88f7ef,5bc99b5b6e258a07d0fe69d6
ILUS,Company,FOUNDED,Hyperion Defense Solutions,Company,9bf715f9405417bf650f::c0000,2023-02-13,ILUS co-founded Hyperion Defense Solutions (Hyperion) alongside two experienced and esteemed British military veterans Chris Derbyshire and Tim Grey.,1.0,ILUS,Hyperion Defense Solutions,ilus,hyperion defense solutions,f4a26eedddc593a6915d7fa2,33e26345a3f61f0bc587821f
Chris Derbyshire,Person,WORKED_AT,Hyperion Defense Solutions,Company,9bf715f9405417bf650f::c0000,2023-02-13,Chris Derbyshire and Tim Grey's combined 34 years of military service and 22 years holding senior roles in the defense sector.,1.0,Chris Derbyshire,Hyperion Defense Solutions,chris derbyshire,hyperion defense solutions,6763840dfe2e4e1d3562e71e,33e26345a3f61f0bc587821f
Tim Grey,Person,WORKED_AT,Hyperion Defense Solutions,Company,9bf715f9405417bf650f::c0000,2023-02-13,Chris Derbyshire and Tim Grey's combined 34 years of military service and 22 years holding senior roles in the defense sector.,1.0,Tim Grey,Hyperion Defense Solutions,tim grey,hyperion defense solutions,44d14f66663379fb5a148405,33e26345a3f61f0bc587821f
Claroty,Company,DEVELOPED,Vulnerability Response Integrations,Technology,127fbbd7afb3d21b8f46::c0000,2023-03-16,Claroty Announces Vulnerability Response Integrations with ServiceNow Service Graph Connector.,1.0,Claroty,Vulnerability Response Integrations,claroty,vulnerability response integrations,8e4ccf66d61b5766bcb7d7bb,28405d1f23d11d695d8fd219
U.S.,Company,USES,decentralized finance services,Technology,4342b297c498728c5864::c0000,2023-05-19,U.S. says decentralized finance services being used for illicit transfers.,1.0,U.S.,decentralized finance services,u.s.,decentralized finance services,d8730d302274f65f60443cfd,5509f30e4f76565bbdcaaef1
Truescope,Company,ACQUIRED,Universal Information Services,Company,ab151b6a1adfb5f2f0cc::c0000,2023-02-01,Truescope has strengthened its position in North America by acquiring leading agency Universal Information Services (UIS),1.0,Truescope,Universal Information Services,truescope,universal information services,76d30bd48e9692cec398f666,45f96e77e85bbef809c126ca
Apogee,Company,ACQUIRED,Cumulus Technology Services Inc.,Company,1e5a2e2af17af23526ed::c0000,2023-01-07,Apogee Acquires Cumulus Technology Services Inc. to Enhance Managed Technology Services Leadership Position in Higher Education.,1.0,Apogee,Cumulus Technology Services,apogee,cumulus technology services,3c87300af0e49ba7418681e9,4228e68d1cf8a43db4fae2e8
Syndio,Company,PARTNERED_WITH,Broadridge Financial Solutions,Company,50d4814b02921aac09ce::c0000,2023-01-12,Syndio announced a new partnership today with global Fintech leader Broadridge Financial Solutions.,1.0,Syndio,Broadridge Financial Solutions,syndio,broadridge financial solutions,af2cc43aae380d2715acfeff,9288e25745f74c90f2ba0187
Infineon,Company,PARTNERED_WITH,Resonac,Company,3eb3bbec9f72d4fc392e::c0000,2023-01-12,Infineon and Resonac expand cooperation.,1.0,Infineon,Resonac,infineon,resonac,482e949a0b6c21ca2b8da03e,7d87b719c7aab894bd5ffd26
Philips Research,Company,DEVELOPED,tiny magnetic tracking and sensing device,Technology,0857214eada5f4bc8f3b::c0000,2023-06-02,A group of bio-engineers at Philips Research has developed a tiny magnetic tracking and sensing device.,1.0,Philips Research,tiny magnetic tracking and sensing device,philips research,tiny magnetic tracking and sensing device,82e35e75371b83689bb4b7e0,6d4f13333005b2b573269d23
Synkrato,Company,DEVELOPED,Digital Twin and AI-Driven Logistics,Technology,c348daa0a79b96afab38::c0000,2023-03-15,The latest release of Synkrato Digital Twin and AI-Driven Logistics introduces new capabilities for warehouse optimization.,1.0,Synkrato,Digital Twin and AI-Driven Logistics,synkrato,digital twin and ai-driven logistics,8b61028eba4418c78c914ee4,1d9c1e71b821753d8ecd27d8
Alight Inc.,Company,DEVELOPED,behavioral health navigation services,Technology,fe34ec9a3ba086639dfc::c0000,2023-06-08,Alight Inc. announced the launch of enhanced services to help employees and families navigate complex behavioral health concerns.,1.0,Alight Inc.,behavioral health navigation services,alight inc.,behavioral health navigation services,90ac4395c4973431c79f617b,c760ea92a6d8373ab85b5482
Athersys,Company,DEVELOPED,SIFU Technology,Technology,71ac288d2843834a7e99::c0000,2023-02-28,Athersys Expands IP Protection with First New Patent for SIFU(R) Technology.,1.0,Athersys,SIFU Technology,athersys,sifu technology,0cebb0b8cc5b8d78b312bc09,b0ef156a1d638855e8b914a0
Athersys,Company,DEVELOPED,MultiStem(R),Technology,71ac288d2843834a7e99::c0000,2023-02-28,a cell therapy and regenerative medicine company developing MultiStem(R) (invimestrocel),1.0,Athersys,MultiStem(R),athersys,multistem r,0cebb0b8cc5b8d78b312bc09,28671e9f42ed893e744b056d
SYNLAB,Company,INVESTED_IN,Healthcare Centre in Florence,Technology,f9211f06d503f61f9f0e::c0000,2023-06-28,SYNLAB invests in innovative Healthcare Centre in Florence.,1.0,SYNLAB,Healthcare Centre in Florence,synlab,healthcare centre in florence,0a62c68a37de9db85f3d0c29,80470fafbf4a5aa99a9d9fef
IIIT Hyderabad,Company,PARTNERED_WITH,Synergy Quantum,Company,c8103d8f650a6b0dd81c::c0000,2023-04-04,IIIT Hyderabad partners with Synergy Quantum; launches Synergy Quantum Solution Lab.,1.0,IIIT Hyderabad,Synergy Quantum,iiit hyderabad,synergy quantum,43a2b279a035975ab78ed013,26eff00a98da188750817013
Samantha Rajapaksa,Person,WORKED_AT,EY Global Delivery Services,Company,98a29288a380434fe2cb::c0000,2023-05-18,Samantha Rajapaksa joins EY Global Delivery Services as Sri Lanka Location & Consulting Leader.,1.0,Samantha Rajapaksa,EY Global Delivery Services,samantha rajapaksa,ey global delivery services,0087edc0e9756820936e0dc5,d17527d262ed27b4677dfe98
Orion Innovation,Company,ACQUIRED,Sryas Inc,Company,cfc116b714f7ac4b1f13::c0000,2023-02-17,Orion Innovation acquires Sryas Inc for an 'undisclosed sum'.,1.0,Orion Innovation,Sryas Inc,orion innovation,sryas inc,50cb8c3da36966dd76d8d150,3518343b653eee1de50c9944
AutomationEdge,Company,PARTNERED_WITH,eAlliance Corp,Company,a3257fd6c94538cc3bb0::c0000,2023-07-31,AutomationEdge and eAlliance Corp announced partnership for Hyperautomation solutions.,1.0,AutomationEdge,eAlliance Corp,automationedge,ealliance corp,7be414ae0a125c88b6924805,3b61382888ffc4a08e15e8dd
PSG,Company,DEVELOPED,BioProTT™ FlowSU System,Technology,914dda9bf5da53b8f0ee::c0000,2023-05-10,PSG Launches New and Updated Flow-Sensor and Flow-Measurement Technologies.,1.0,PSG,BioProTT™ FlowSU System,psg,bioprotttm flowsu system,483064d6337d5cd16bda1f38,0ded6c4d82d90bcc9057c2d0
PSG,Company,DEVELOPED,SumoFlo® CPFM-8103 Single-Use Coriolis Mass Flow Meter,Technology,914dda9bf5da53b8f0ee::c0000,2023-05-10,PSG Launches New and Updated Flow-Sensor and Flow-Measurement Technologies.,1.0,PSG,SumoFlo® CPFM-8103 Single-Use Coriolis Mass Flow Meter,psg,sumoflo cpfm-8103 single-use coriolis mass flow meter,483064d6337d5cd16bda1f38,f6c4431ff12c096dab7fb800
Biz Technology Solutions,Company,PARTNERED_WITH,New Charter Technologies,Company,951a3c9eb3e42ebee74e::c0000,2023-04-24,the recent partnership between Biz Technology Solutions and New Charter Technologies.,1.0,Biz Technology Solutions,New Charter Technologies,biz technology solutions,new charter technologies,b516b0df5b316aab6c37706b,9960a1ca5dd13b4f18ca1fb7
Integrated Water Services,Company,ACQUIRED,Hyperion International Technologies,Company,104393b197a54876f491::c0000,2023-03-07,Integrated Water Services Inc. recently acquired Hyperion International Technologies.,1.0,Integrated Water Services,Hyperion International Technologies,integrated water services,hyperion international technologies,186dafbd410cecdda1f02826,a4526bf0ce1633bdf0041f2b
L&T Technology Services,Company,PARTNERED_WITH,Qualcomm,Company,201da7854b95e5ee4a3a::c0000,2023-02-23,L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks.,1.0,L&T Technology Services,Qualcomm,l t technology services,qualcomm,7b29988cfc0dac3059f47a0e,261c78e541bbb8921217639a
Sensormatic Solutions,Company,WORKED_AT,Johnson Controls,Company,3ce400e63d38df552517::c0000,2023-01-11,Sensormatic Solutions the leading global retail solutions portfolio of Johnson Controls.,1.0,Sensormatic Solutions,Johnson Controls,sensormatic solutions,johnson controls,f3f32693adef317dca914a90,e016a9e7ff9bebc6458f50d6
L&T Technology Services,Company,DEVELOPED,L&T Technology Services March quarter scorecard,Technology,da8a398d2b05e0e0328e::c0000,2023-04-27,L&T Technology Services released L&T Technology Services March quarter scorecard.,1.0,L&T Technology Services,L&T Technology Services March quarter scorecard,l t technology services,l t technology services march quarter scorecard,7b29988cfc0dac3059f47a0e,1a14d00296027d0653e3be4d
NZTE,Company,LEADS,Phil Hayward,Person,2fb8b754e37415a5965a::c0000,2023-04-27,NZTE’s director for information technology and services Phil Hayward says the organisation has been using videoconferencing.,1.0,NZTE,Phil Hayward,nzte,phil hayward,b0a165fc62e33d078cdec204,b5693b9e7beee70ca5401e35
Service Express,Company,ACQUIRED,ServIQ,Company,9c13e3a847465ab9b5cc::c0000,2023-03-07,Service Express Acquires Data Center Support Provider ServIQ.,1.0,Service Express,ServIQ,service express,serviq,2025835465bb5256a23fb79d,813b3488cb7ecc8227d81e6e
Aeris,Company,ACQUIRED,Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses,Technology,e0ebf26fe86416644315::c0000,2023-01-18,Aeris has acquired Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses.,1.0,Aeris,Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses,aeris,ericsson s iot accelerator and connected vehicle cloud businesses,ce0b6a8e50a6a58526e4c85f,06f73103c64a031257801ac5
STMicroelectronics,Company,PARTNERED_WITH,Sanan Optoelectronics,Company,06de57f74b88a373aabc::c0000,2023-06-07,STMicroelectronics and Sanan Optoelectronics said they are forming a semiconductor-manufacturing joint venture.,1.0,STMicroelectronics,Sanan Optoelectronics,stmicroelectronics,sanan optoelectronics,f7eab7abc4b1c4dee5b78b58,6fadc0df2174ddf6f0cce507
DLH,Company,ACQUIRED,GRSi,Company,c529d3b8a38f6ead8606::c0000,2022-12-09,DLH Strengthens Information Technology and Cyber Capabilities through Acquisition of GRSi.,1.0,DLH,GRSi,dlh,grsi,2d55798b22d7a052a3d6586d,48a4e9a9a10e1bdcf8aa9da4
Mukunda Penugonde,Person,WORKED_AT,GSA,Company,e8bba5749f22a824d36b::c0000,2023-04-12,Mukunda Penugonde joined TTS in the role on April 10 joining from the private.,1.0,Mukunda Penugonde,GSA,mukunda penugonde,gsa,d6a5764849afb9cb60aad8df,12a77630f85feaa86a87b228
AXIS Capital Holdings Limited,Company,LEADS,Andy Maher,Person,1d7e5132da8c57675a76::c0000,2022-12-09,AXIS Capital Holdings Limited announced today that Andy Maher has been appointed Head of Cyber and Technology.,1.0,AXIS Capital Holdings Limited,Andy Maher,axis capital holdings limited,andy maher,90beb9d60aaf9607a0e9cf93,b290761180fc4a147efe5676
CoolSys,Company,ACQUIRED,1GNITE,Company,7518983875956cf9c51e::c0000,2023-08-08,CoolSys which is backed by Ares Management has acquired 1GNITE.,1.0,CoolSys,1GNITE,coolsys,1gnite,63d082a8de0796f78ce17b7d,5057c10aa4464ea24cfd2ca3
NCUA,Company,DEVELOPED,Financial Technology and Access Team,Technology,0e422b7481dce69123cb::c0000,2023-01-06,NCUA Names Director of New Financial Technology and Access Team.,1.0,NCUA,Financial Technology and Access Team,ncua,financial technology and access team,0be33acd37386a2f2da0f9cc,747fb2668bad683846279bb8
OpenAI,Company,DEVELOPED,open-source language model,Technology,9327e9c95eaa66cb4b94::c0000,2023-05-15,OpenAI is preparing to release a new open-source language model to the public.,1.0,OpenAI,open-source language model,openai,open-source language model,773eeb9b7cc008bff365fcdd,155e7ce3b63c70cdcd62e3ea
L&T Technology Services Limited,Company,FOUNDED,engineering research and development services,Technology,5c000f3a9d25c38d7d58::c0000,2023-07-07,L&T Technology Services Limited is an India-based engineering research and development services company.,1.0,L&T Technology Services,engineering research and development services,l t technology services,engineering research and development services,7b29988cfc0dac3059f47a0e,2d0f3b38f8a445bc35a5de6f
Symbiotic,Company,PARTNERED_WITH,SoftBank,Company,54b41f69ddb15bec3c4d::c0000,2023-09-24,Symbiotic is relying on a new joint venture with its other big backer SoftBank.,1.0,Symbiotic,SoftBank,symbiotic,softbank,a13db9241151b8c4fe050342,0cf2f2945e5f6dc338954501
Symbiotic,Company,USES,Walmart,Company,54b41f69ddb15bec3c4d::c0000,2023-09-24,Symbiotic generates most of its revenue from Walmart.,1.0,Symbiotic,Walmart,symbiotic,walmart,a13db9241151b8c4fe050342,ad7c2c62d5269906c4019b77
Malta Information Technology Agency,Company,PARTNERED_WITH,Esri,Company,afd2ee3f8ae5a1336b9f::c0000,2023-02-17,Esri Signs Agreement with Malta Providing Access to GIS Technology Training.,1.0,Malta Information Technology Agency,Esri,malta information technology agency,esri,d377097f37cddc17de22b9dc,24b5bfe2bf461db7f091ffe3
Infineon,Company,PARTNERED_WITH,Resonac,Company,181b0d81898358e6793d::c0000,2023-01-12,Infineon and Resonac expand SiC cooperation.,1.0,Infineon,Resonac,infineon,resonac,482e949a0b6c21ca2b8da03e,7d87b719c7aab894bd5ffd26
Syndio,Company,DEVELOPED,PayEQ,Technology,70a9ec70493ed4a7faf1::c0000,2023-03-07,Through Syndio's landmark PayEQ and a suite of products and services.,1.0,Syndio,PayEQ,syndio,payeq,af2cc43aae380d2715acfeff,70764a12cd7d3afaa7350656
Jason Snyder,Person,WORKED_AT,Harvard,Company,ad086ce259b4a5bfb0a2::c0000,2023-01-04,Jason Snyder is currently the Chief Technology Officer at Harvard.,1.0,Jason Snyder,Harvard,jason snyder,harvard,f8d616c8cc3dc1ac2520ddd9,6ccd36cb57fe4bbb936c108d
Biz Technology Solutions,Company,PARTNERED_WITH,New Charter Technologies,Company,89d87a7bc0fe426ec873::c0000,2023-03-20,Managed IT Services Provider Biz Technology Solutions Enters Into Partnership With New Charter Technologies.,1.0,Biz Technology Solutions,New Charter Technologies,biz technology solutions,new charter technologies,b516b0df5b316aab6c37706b,9960a1ca5dd13b4f18ca1fb7
Lessen,Company,ACQUIRED,Chicago company,Company,d6f9953716344339e832::c0000,2023-01-12,Lessen stretches reach nationally with acquisition of Chicago company.,1.0,Lessen,Chicago company,lessen,chicago company,ed55647e1d90630151947f73,1202893fe200659df44b39ec
Olivia Igbokwe-Curry,Person,WORKED_AT,Amazon Web Services,Company,cff99781089196247006::c0000,2023-05-17,Olivia Igbokwe-Curry Amazon Web Services.,1.0,Olivia Igbokwe-Curry,Amazon Web Services,olivia igbokwe-curry,amazon web services,5bee66f38bb49e6c1120ca40,70c4e949ff245096c6946802
Chris Soong,Person,WORKED_AT,HII,Company,bef5955953ad8b9538c1::c0000,2023-01-24,HII has promoted a new chief information officer from the company's own ranks in Chris Soong.,1.0,Chris Soong,HII,chris soong,hii,fd9a0e61cdd94c40596b0d7f,d07c63e6237b5f0e8186e9af
Cass Information Systems Inc.,Company,WORKED_AT,C-suite,Technology,9455b5ed73fc59e6b5bd::c0000,2023-02-17,Cass Information Systems Inc. announced a promotion Friday to fill its top C-suite post.,0.9,Cass Information Systems Inc.,C-suite,cass information systems inc.,c-suite,68b0f1e1adc856f11ca32dba,7c7acca88321344fff85e252
3CLogic,Company,PARTNERED_WITH,ServiceNow,Technology,61a1c40b921f530a0072::c0000,2023-03-16,CLogic the leading voice-enabling and cloud contact center solution for ServiceNow® today announced its gold-level sponsorship.,0.9,3CLogic,ServiceNow,3clogic,servicenow,e2ad22700d7d11a2f4dfa140,8706fbce475588f31329c9bd
L&T Technology Services Ltd,Company,ACQUIRED,Smart World & Communication (SWC) business,Company,e72f68c2e141879b6b58::c0000,2023-01-13,L&T Technology Services Ltd will acquire the Smart World & Communication (SWC) business of Larsen & Toubro Ltd (L&T).,0.9,L&T Technology Services,Smart World & Communication (SWC) business,l t technology services,smart world communication swc business,7b29988cfc0dac3059f47a0e,233903299f9b5ed1a6de53a5
ILUS International Inc.,Company,DEVELOPED,IED Detection Technology,Technology,624af078e7889a343ee9::c0000,2023-05-10,ILUS Defence Subsidiary Hyperion Defence Solutions Signs Exclusive Global Distribution Agreement for Revolutionary IED Detection Technology.,0.9,ILUS International Inc.,IED Detection Technology,ilus international inc.,ied detection technology,640865f37e36c9e2b83d4e8f,646f67d86c0bc24e98490451
Dash Solutions,Company,ACQUIRED,KyckGlobal,Company,8f045fc8258f8511cae4::c0000,2023-08-30,Dash Solutions acquired KyckGlobal a financial technology company and payments platform.,1.0,Dash Solutions,KyckGlobal,dash solutions,kyckglobal,6b8b046564649fd7230883dd,894487a3583e2560ae83ca4e
Syneos Health,Company,ACQUIRED,Private Investment Consortium,Company,787fdcddec5d638accde::c0000,2023-05-10,Syneos Health to be Acquired by a Private Investment Consortium for Approximately $7.1 Billion.,1.0,Syneos Health,Private Investment Consortium,syneos health,private investment consortium,df7c76f87f6d7cca6cd3b599,5f8fa4386684658e4d6378f4
Hywin,Company,DEVELOPED,WealthTech Platform,Technology,4fbb6af96dd246761913::c0000,2023-04-08,Hywin Launches WealthTech Platform to Enhance its Services for High-Net-Worth Clients.,1.0,Hywin,WealthTech Platform,hywin,wealthtech platform,26186c57fe14a776c283d4f6,6f4c749d695b7349b9bcf5f0
Hywin,Company,USES,IBM Technology,Technology,4fbb6af96dd246761913::c0000,2023-04-08,We chose IBM because IBM share our agile development philosophy.,1.0,Hywin,IBM Technology,hywin,ibm technology,26186c57fe14a776c283d4f6,59a6289966289f0ca1f4971c
Ian Au-Yeung,Person,WORKED_AT,Synoptek,Company,33b7d62c89b0a8136829::c0000,2023-04-10,Synoptek Appoints Ian Au-Yeung as Chief Revenue Officer.,1.0,Ian Au-Yeung,Synoptek,ian au-yeung,synoptek,a4ba5029abce1d8e5811147f,79abbfff395a1ced15d24414
Zane State College,Company,PARTNERED_WITH,Ohio College Tech Prep,Company,816955ffd6dbf6ec0f5f::c0000,2023-05-27,Zane State College has partnered with Ohio College Tech Prep to build and foster relationships.,1.0,Zane State College,Ohio College Tech Prep,zane state college,ohio college tech prep,35ef3113fa3905b77a2ae652,c3636f47c5da411b7a884594
Pankaj Vyas,Person,LEADS,Siemens Technology and Services Pvt. Ltd.,Company,12ebdda3acda65d9fde8::c0000,2022-12-03,Pankaj Vyas CEO & MD Siemens Technology and Services Pvt. Ltd.,0.9,Pankaj Vyas,Siemens Technology and Services Pvt. Ltd.,pankaj vyas,siemens technology and services pvt. ltd.,29dfe31b470f3786bec568fe,d5494c8e505250d05a4ea184
ALTEN,Company,ACQUIRED,Accord Global Technology Solutions,Company,4bfba24dd1ac10a68b01::c0000,2023-08-02,ALTEN acquires Accord Global Technology Solutions an engineering services company based out of India.,1.0,ALTEN,Accord Global Technology Solutions,alten,accord global technology solutions,3b2dcd617cfbc48e84985df3,3953af0dd86dfc02f7c3ee8e
Options Technology,Company,PARTNERED_WITH,Microsoft,Company,f73febf774301e802436::c0000,2023-06-08,Options Named Microsoft Solutions Partner for Security.,1.0,Options Technology,Microsoft,options technology,microsoft,9cd910fcf7271d0c1563d8e1,fb0f4df56fab164ec48722f0
Trulioo,Company,PARTNERED_WITH,Beedie Luminaries,Company,d59999646b30a7138433::c0000,2022-12-21,Trulioo a leading global digital identity verification platform is partnering with Beedie Luminaries.,1.0,Trulioo,Beedie Luminaries,trulioo,beedie luminaries,f523f5db757fde9b073849ee,d0d28e6e94ee646e27675b1a
Sym-Tech Dealer Services,Company,ACQUIRED,SSQ Dealer Services,Company,afe56b16ac4189e5da2c::c0000,2023-02-23,Sym-Tech Dealer Services Acquires SSQ Dealer Services From Beneva.,1.0,Sym-Tech Dealer Services,SSQ Dealer Services,sym-tech dealer services,ssq dealer services,9068586363f75b0cf3659e6b,0e2850546d0380ed53cc1111
Odysight.ai,Company,DEVELOPED,visual sensing and video analytics-based predictive maintenance technology,Technology,d68a5065b1d78e7173b4::c0000,2023-06-12,Odysight.ai's visual sensing and video analytics-based predictive maintenance technology is of paramount importance for operators of aviation system platforms.,1.0,Odysight.ai,visual sensing and video analytics-based predictive maintenance technology,odysight.ai,visual sensing and video analytics-based predictive maintenance technology,69e0afa7b4b99c83783fa0b5,7ec075dd1038507884c65578
